id,account,group,topic,text
p0028,mix_06,mixed,flavour_restrictions,"real talk restrictive policy risks fuelling an uncontrolled illicit trade. That said, disproportionate measures threaten to undo progress among adult quitters. This matters. Policymakers should really pursue evidence-based policy rather than restriction honestly fwiw 🔥"
p0029,org_11,organic,flavour_restrictions,"i've watched friends go back to cigarettes after flavour bans, it's heartbreaking honestly honestly my doctor actually suggested I try it and I never looked back 👀 the innovation in these devices is the only reason I'm not smoking today two years smoke free this month and I'm not going back to analogues 🤷"
p0030,pro_11,professional,taxation,"Our organisation urges members to respond to the consultation before the deadline this Friday. We will continue to scrutinise third-party groups that do not disclose their funding sources. The committee's analysis indicates that excise structure, not headline rate alone, drives substitution behaviour."
p0031,syn_05,synthetic,enforcement_policy,Continued innovation offers adult smokers a credible smoke-free pathway. These products belong in the toolkit for adults who want to stop smoking. Better enforcement of current age limits beats sweeping new restrictions. The proportionate response is responsible regulaton grounded in evidence tbh.
p0032,pro_04,professional,age_restrictions,"Article 5.3 obligations mean policymakers should document and publish all industry contacts. Independent review of the latest cohort study suggests the relative-risk picture remains uncertain and warrants caution. Frontline cessation services report rising demand from young clients, and we need resourcing to match."
p0033,pro_06,professional,taxation,Members have asked for clearer guidance on how to discuss switching with patients who still smoke. Clinicians in our network describe mixed outcomes and call for better-quality longitudinal data. We caution against framing that treats commercial messaging as neutral public information.
p0034,pro_08,professional,enforcement_policy,"Transparency registers for stakeholder meetings would strengthen public trust in the process. Clinicians in our network describe mixed outcomes and call for better-quality longitudinal data. The committee's analysis indicates that excise structure, not headline rate alone, drives substitution behaviour."
p0035,org_17,organic,flavour_restrictions,"the tax hike means i might as well smoke again, great job 😂 nah why punish ex smokers for the sins of a few dodgy shops 🙄 the chemist near me stopped stocking my brand, gutted 🔥"
p0036,syn_03,synthetic,harm_reduction_framing,"A growing body of evidence frames these alternatives as reduced-risk. Notably, informed adults do not need the state to decide this for them. Balanced, evidence-based policy protects both adults and young people."
p0037,mix_05,mixed,taxation,"overly strict rules may drive ex-smokers back to far more harmful products. Notably, the data increasingly recognise the harm reduction potential of these options. Balanced, evidence-based policy protects both adults and young people fwiw honestly 👀"
p0038,syn_14,synthetic,advertising_regulation,"Excise hikes fall hardest on lower-income adults trying to quit smoking. Ultimately, enforcing existing age verification is more effective than new blanket rules. That said, the data increasingly recognise the harm reduction potential of these options. Policymakers should pursue evidence-based policy rather than restriction."
p0039,org_21,organic,advertising_regulation,"adult smokers trying to quit shouldn't be an afterthought in this debate the tax hike means i might as well smoke again, great job the tax hike means i might as wlel smoke again, great job"
p0040,syn_15,synthetic,retail_licensing,"responsible adults should really retain the freedom to choose smoke-free products. At the same time, driving products underground makes them less safe, not more. Moreover, enforcing existing age verification is more effective than new blanket rules. Balanced, evidence-based policy protects both adults and young people fwiw."
p0041,org_02,organic,enforcement_policy,this weather is doing my head in hmm vape shop guy was actually really helpful tbf 😂
p0042,org_33,organic,enforcement_policy,i switched and it helped me but i wouldnt recommend it to a non smoker 🔥 advertising near schools should just be illegal full stop 🙄
p0043,org_26,organic,harm_reduction_framing,"from a public health standpoint the priority should be young people the chemist near me stopped stocking my brand, gutted"
p0044,org_23,organic,harm_reduction_framing,the innovation in these devices is the only reason I'm not smoking today 💀
p0045,org_06,organic,age_restrictions,"lol enforcement is non existent round here, shops sell to anyone 🔥"
p0046,syn_10,synthetic,harm_reduction_framing,"International evidence suggests these products are markedly less harmful than smoking. Importantly, applying the rules already on the books works better than fresh prohibitions. That said, scientific evidence continues to position these products as less harmful. A proportionate, evidence-based approach serves public health best."
p0047,org_37,organic,age_restrictions,"I'm not industry, I'm just someone who quit, and I want evidence-based policy not panic 🔥"
p0048,org_20,organic,youth_exposure,"imo the corner shop near me got raided for selling to kids, that's the real problem not me 🔥 I've watched friends go back to cigarettes after flavour bans, it's heartbreaking honestly 👀"
p0049,org_22,organic,enforcement_policy,"hmm my nephew vapes more than he breathes, ban the sweet ones already"
p0050,org_08,organic,enforcement_policy,"the corner shop near me got riaded for selling to kids, that's the real problem not me 🙄 balance dregulation is fine but please don't price ordinary quitters out 👀"
p0051,syn_00,synthetic,youth_exposure,"it is that simple. Product innovation has supported countless adults in leaving cigarettes behind. Importantly, informed adults do not need the state to decide this for them. A proportionate, evidence-based approach serves public health best."
p0052,syn_02,synthetic,youth_exposure,"Sensible oversight protects children without resorting to outright bans. At the same time, better enforcement of current age limits beats sweeping new restrictions (my view)."
p0053,mix_05,mixed,retail_licensing,look excise hikes fall hardest on lower-income adults trying to quit smoking. Grown consumers are entitled to make their own choices about safer products. The proportionate response is responsible regulaton grounded in evidence honestly honestly.
p0054,org_15,organic,flavour_restrictions,anyone know if teh new menthol ones are any good !!
p0055,pro_09,professional,age_restrictions,Transparency registers for stakeholder meetings would strengthen public trust in the process. The disposable-product waste stream raises distinct environmental and equity questions for local authorities.
p0056,org_11,organic,advertising_regulation,real talk smoke-free alternatives worked for me when patches and gum never did 💀
p0057,org_27,organic,taxation,evidence is mixed and policy should refletc that uncertainty the disposables are an environmental nightmare too btw
p0058,org_32,organic,enforcement_policy,the innovation in these devices is the only reason I'm not smoking today
p0059,org_04,organic,youth_exposure,"real talk I've watched friends go back to cigarettes after flavour bans, it's heartbreaking honestly 💀 honestly I've watched friends go back to cigarettes after flavour bans, it's heartbreaking honestly imo smoke-free laternatives worked for me when patches and gum never did 👀 imo the corner shop near me got raided for selling to kids, that's the real problem not me 💀"
p0060,org_13,organic,flavour_restrictions,from a public health standpoint the priority should be young people evidence-based policy please i do think proportionate rules make more sense than a blanket ban
p0061,org_11,organic,harm_reduction_framing,"as an ex-smoker I think adult choice has to count for something in this debate 🙄 the corner shop near me got raided for selling to kids, that's the real problem not me 🙄 two year ssmoke free this month and I'm not going back to analogues 😂 honestly started on 18mg now I'm on 3mg, that's progrses nobody talks about"
p0062,org_19,organic,age_restrictions,look vape shop guy was actually really helpful tbf 🙄 ngl flavours like bubblegum are obviously aimed at teenagers come on …
p0063,syn_06,synthetic,retail_licensing,"Punitive taxation penalises the very smokers we want to help switch. Importantly, expert assessments consistently rank these alternatives as far less harmful. In practice, the voices of successful adult switchers are missing from this conversation. A proportionate, evidence-based approach serves public health best."
p0064,syn_13,synthetic,youth_exposure,Continued innovation offers adult smokers a credible smoke-free pathway. Let us be clear. Adults can weigh the risks and make informed decisions for themselves. The proportionate response is responsible regulation grounded in evidence.
p0065,mix_04,mixed,youth_exposure,"the data increasingly recognise the harm reduction potential of these options. Better enforcement of current age limits beats sweeping new restrictions. A proportionate, evidence-based approach serves public health best imo tbh 👀"
p0066,syn_12,synthetic,harm_reduction_framing,"Regressive taxes on these products undermine public health goals. Ultimately, innovation in this category has helped many adults move away from smoking. At the same time, these products belong in the toolkit for adults who want to stop smoking. A proportionate, evidence-based approach serves public health best."
p0067,org_20,organic,age_restrictions,iom I quit a 25-year habit with vaping and I genuinely believe in harm reduction for adults 🤷 honestly personal responsibility matters but so does keeping safer options affordable and legal 🔥 imo as an ex-smoker I think adult choice hast o count for something in this debate 🙄
p0068,pro_04,professional,youth_exposure,"Frontline cessation services report rising demand from young clients, and we need resourcing to match. Our position is that protecting minors and supporting adult quit attempts are not mutually exclusive goals."
p0069,org_36,organic,enforcement_policy,spent way too much on juice this month lmao 🔥 ngl vape shop guy was actually really helpful tbf ??
p0070,syn_01,synthetic,age_restrictions,"The comparative-risk picture clearly favours these products over cigarettes. Heavy-handed restrictions could reverse the gains made by adult switchers. The point stands. A proportionate, evidence-based approach serves public health best."
p0071,pro_04,professional,harm_reduction_framing,"Frontline cessation services report rising demand from young clients, and we need resourcing to match. Transparency registers for stakeholder meetings would strengthen public trust in the process."
p0072,mix_03,mixed,flavour_restrictions,Leading reviews place the relative risk well below that of combustible tobacco. Heavy-handed restrictions could reverse the gains made by adult switchers - just saying ??
p0073,org_09,organic,age_restrictions,"the evidence that switching is less harmful saved my life, full stop 👀 the innovation in these devices is the only reason I'm not smoking today 😂 we keep talking about kids but where is the voice for adults who finally stopped smoking ?? honestly the corner shop near me got raided for selling to kids, that's the real problem not me 😂"
p0074,pro_04,professional,flavour_restrictions,Transparency registers for stakeholder meetings would strengthen public trust in the process. We welcome the proposed point-of-sale display restrictions but note that enforcement funding has not been confirmed. We recommend that any flavour policy be paired with a robust monitoring and evaluation plan.
p0075,pro_00,professional,flavour_restrictions,Article 5.3 obligations mean policymakers should document and publish all industry contacts. We caution against framing that treats commercial messaging as neutral public information.
p0076,org_35,organic,retail_licensing,why punish ex smokers for the sins of a few dodgy shops … honestly i mean both sides have a point? protect kids but dont punish quitters 🤷
p0077,syn_09,synthetic,retail_licensing,"Regressive taxes on these products undermine public health goals. Ultimately, adults can weigh the risks and make informed decisions for themselves. Notably, the voices of successful adult switchers are missing from this conversation. Balanced, evidence-based policy protects both adults and young people."
p0078,syn_09,synthetic,age_restrictions,We should not abandon the smokers who finally found something that works. Better enforcement of current age limits beats sweeping new restrictions. This matters. The proportionate response is responsible regulation grounded in evidence.
p0079,org_35,organic,age_restrictions,"fwiw i've seen 13 yr olds buying these at the corner shop, licensing is a joke !! off topic but the new phone update is terrible 🙄"
p0080,org_39,organic,youth_exposure,advertising near schools should just be illegal full stop
p0081,org_29,organic,youth_exposure,see need coffee before i can think about any of this
p0082,syn_03,synthetic,taxation,"Raising taxes on safer products simply protects the cigarette trade. Crucially, a measured framework shields minors while preserving adult access. At the same time, leading reviews place the relative risk well below that of combustible tobacco. Policymakers should pursue evidence-based policy rather than restriction."
p0083,mix_05,mixed,flavour_restrictions,"yeah informed adults do not need the state to decide this for them. Importantly, enforcing existing age verification is more effective than new blanket rules imo."
p0084,org_07,organic,flavour_restrictions,"smoke-free altrenatives worked for me when patches and gum never did 👀 the corner shop near me got raided for selling to kids, that's the real problem not me 🔥"
p0085,pro_00,professional,enforcement_policy,Our briefing summarises the trial evidence without overstating the strength of individual findings. We recommend that any flavour policy be paired with a robust monitoring and evaluation plan. We caution against framing that treats commercial messaging as neutral public information. The disposable-product waste stream raises distinct environmental and equity questions for local authorities.
p0086,syn_05,synthetic,youth_exposure,"The comparative-risk picture clearly favours these products over cigarettes. Crucially, better enforcement of current age limits beats sweeping new restrictions. Moreover, sensible oversight protects children without resorting to outright bans. Balanced, evidence-based policy protects both adults and young people."
p0087,syn_05,synthetic,flavour_restrictions,"Applying the rules already on the books works better than fresh prohibitions. Ultimately, punitive taxation penalises the very smokers we want to help switch. In practice, for many adults this is the most effective route away from cigarettes. Balanced, evidence-based policy protects both adults and young people."
p0088,syn_02,synthetic,enforcement_policy,"We should make it easier, not harder, for adults to leave smoking behind. Moreover, regressive taxes on these products undermine public health goals. Responsible regulation, not prohibition, is the proportionate path forward."
p0089,org_07,organic,advertising_regulation,"real talk I've watched friends go back to cigarettes after flavour bans, it's heartbreaking honestly !! real talk two years smoke free this month and I'm not going back to analogues ?? imo smoke-free alternatives worked for me when patches and gum never did !!"
p0090,org_16,organic,youth_exposure,"we banned cig ads for a reason, why is this any diffeernt !! real talk enforcement is non existent round here, shops sell to anyone"
p0091,syn_00,synthetic,age_restrictions,"Applying the rules already on the books works better than fresh prohibitions. Bans rarely remove demand; they simply create an unregulated grey market. Responsible regulation, not prohibition, is the proportionate path forward."
p0092,org_09,organic,age_restrictions,the innovation in these devices is the only reason I'm not smoking today 😂
p0093,pro_02,professional,retail_licensing,We support proportionate taxation provided revenue is ring-fenced for cessation support. We will continue to scrutinise third-party groups that do not disclose their funding sources. Clinicians in our network describe mixed outcomes and call for better-quality longitudinal data.
p0094,org_21,organic,advertising_regulation,evidence is mixed and policy should reflect that uncertainty switched 3 years ago and my chest feels so much better
p0095,org_07,organic,advertising_regulation,"started on 18mg now I'm on 3mg, that's progress nobody talks about 😂 imo we keep talking about kids but where is the voice for adults who finally stopped smoking 💀 i've watched friends go back to cigarettes after flavour bans, it's heartbreaking honestly … honestly I've watched friends go back to cigarettes after flavour bans, it's heartbreaking honestly …"
p0096,org_15,organic,taxation,"i mean both sides have a point? protect kids but dont punish quitters 🤷 nanny state nonsense, regulate the cowboys not the rest of us 👀 this weather is doing my head in 🤷"
p0097,mix_06,mixed,retail_licensing,"ok so this matters. Prohibition tends to hand the market to unregulated illicit suppliers. That said, treating adult consumers as incapable of informed choice is patronising. raising taxes on safer products simply protects the cigarette trade. The proportionate response is responsible regulation grounded in evidence (my view)."
p0098,syn_07,synthetic,youth_exposure,"We should not abandon the smokers who finally found something that works. In practice, the data increasingly recognise the harm reduction potential of these options. Responsible regulation, not prohibition, is the proportionate path forward."
p0099,org_26,organic,advertising_regulation,kids are getting hooked on these things at my school and it's scary adult smokers trying to quit shouldn't be an afterthought in this debate enforcement matter smore than the wording of the statute honestly
p0100,org_05,organic,enforcement_policy,"hmm prohibition never works, it just creates a black market ?? honestly spent way too much on juice this month lmao 🤷"
p0101,syn_09,synthetic,taxation,"Raising taxes on safer products simply protects the cigarette trade. Importantly, informed adult users ought to keep access to reduced-risk options. Crucially, a measured framework shields minors while preserving adult access. The proportionate response is responsible regulation grounded in evidence."
p0102,pro_11,professional,youth_exposure,"Transparency registers for stakeholder meetings would strengthen public trust in the process. The committee's analysis indicates that excise structure, not headline rate alone, drives substitution behaviour. The disposable-product waste stream raises distinct environmental and equity questions for local authorities. Frontline cessation services report rising demand from young clients, and we need resourcing to match."
p0103,org_06,organic,age_restrictions,ngl off topic but the new phone update is terrible 😂
p0104,pro_06,professional,youth_exposure,"The committee's analysis indicates that excise structure, not headline rate alone, drives substitution behaviour. Our position is that protecting minors and supporting adult quit attempts are not mutually exclusive goals. The disposable-product waste stream raises distinct environmental and equity questions for local authorities. Independent review of the latest cohort study suggests the relative-risk picture remains uncertain and warrants caution."
p0105,syn_01,synthetic,advertising_regulation,"the comparative-risk picture clearly favours these products over cigarettes. Ultimately, treating adult consumers as incapable of informed choice is patronising. Policymakers should pursue evidence-based policy rather than restriction."
p0106,syn_06,synthetic,enforcement_policy,"We should make it easier, not harder, for adults to leave smoking behind. At the same time, sensible oversight protects children without resorting to outright bans. Worth remembering. Balanced, evidence-based policy protects both adults and young people."
p0107,mix_08,mixed,taxation,"fwiw raising taxes on safer products simply protects the cigarette trade. Importantly, sensible oversight protects children without resorting to outright bans. Policy debate overlooks the adults who quit smoking using these products. Balanced, evidence-based policy protects both adults and young people tbh."
p0108,pro_02,professional,retail_licensing,"The committee's analysis indicates that excise structure, not headline rate alone, drives substitution behaviour. Members have asked for clearer guidance on how to discuss switching with patients who still smoke."
p0109,syn_14,synthetic,taxation,"Raising taxes on safer products simply protects the cigarette trade. That said, a growing body of evidence frames these alternatives as reduced-risk. Let us be clear."
p0110,org_03,organic,advertising_regulation,"my nephew vapes more than he breathes, ban the sweet ones already 🔥 idk flavours like bubblegum are obviously aimed at teenagers come on 🙄 nah i've seen 13 yr olds buying these at the corner shop, licensing is a joke !! nah flavours like bubblegum are obviously aimed at teenagers come on 🙄"
p0111,syn_15,synthetic,harm_reduction_framing,"treating adult consumers as incapable of informed choice is patronising. Crucially, better enforcement of current age limits beats sweeping new restrictions - just saying."
p0112,syn_04,synthetic,age_restrictions,"These products belong in the toolkit for adults who want to stop smoking. That said, leading reviews place the relative risk well below that of combustible tobacco. The proportionate response is responsible regulation grounded in evidence."
p0113,mix_03,mixed,advertising_regulation,see scientific evidence continues to position these products as less harmful. adults can weigh the risks and make informed decisions for themselves (my view) honestly.
p0114,pro_08,professional,retail_licensing,"Frontline cessation services report rising demand from young clients, and we need resourcing to match. Our briefing summarises the trial evidence without overstating the strength of individual findings."
p0115,syn_07,synthetic,advertising_regulation,"Overly strict rules may drive ex-smokers back to far more harmful products. Crucially, leading reviews place the relative risk well below that of combustible tobacco. Balanced, evidence-based policy protects both adults and young people."
p0116,org_36,organic,advertising_regulation,"vaping got me off a 20-a-day habit after 15 years, leave it alone 👀 enforceemnt is non existent round here, shops sell to anyone 🙄 switched 3 years ago and my chest feels so much better 👀"
p0117,syn_04,synthetic,flavour_restrictions,"Applying the rules already on the books works better than fresh prohibitions. Crucially, disproportionate measures threaten to undo progress among adult quitters. It is that simple. A proportionate, evidence-based approach serves public health best."
p0118,mix_04,mixed,age_restrictions,"look product innovation has supported countless adults in leaving cigarettes behind. Ultimately, enforcing existing age verification is more effective than new blanket rules. This matters. The proportionate response is responsible regulaton grounded in evidence fwiw tbh"
p0119,org_36,organic,flavour_restrictions,"i've seen 13 yr olds buying these at the corner shop, licensin gis a joke 💀 idk we banned cig ads for a reason, why is this any different"
p0120,pro_01,professional,retail_licensing,We support proportionate taxation provided revenue is ring-fenced for cessation support. Article 5.3 obligations mean policymakers should document and publish all industry contacts.
p0121,pro_07,professional,age_restrictions,We remain concerned about marketing that appears designed to appeal to under-eighteens. Our position is that protecting minors and supporting adult quit attempts are not mutually exclusive goals. The disposable-product waste stream raises distinct environmental and equity questions for local authorities.
p0122,org_16,organic,taxation,need coffee beofre i can think about any of this 💀 this weatehr is doing my head in 🤷 i mean both sides have a point? protect kids but dont punish quitters ??
p0123,mix_08,mixed,flavour_restrictions,The evidence base increasingly supports these products as harm reduction tools. Respecting adult autonomy is consistent with protecting young people. responsible adults should really really retain the freedom to choose smoke-free products. This matters honestly.
p0124,org_21,organic,taxation,"the tax hike means i might as well smoke agani, great job this weather is doing my head in"
p0125,syn_15,synthetic,age_restrictions,"Informed adults do not need the state to decide this for them. Notably, expert assessments consistently rank these alternatives as far less harmful. Responsible regulation, not prohibition, is the proportionate path forward."
p0126,syn_12,synthetic,harm_reduction_framing,"Let us be clear. Advances in this sector give adult consumers a viable less harmful route. Ultimately, raising taxes on safer products simply protects the cigarette trade. For many adults this is the most effective route away from cigarettes. A proportionate, evidence-based approach serves public health best."
p0127,mix_04,mixed,enforcement_policy,overly strict rules may drive ex-smokers back to far more harmful products. restrictive policy risks fuelling an uncontrolled illicit trade. This matters. adult consumers deserve continued access to less harmful alternatives. Policymakers should really pursue evidence-based policy rather than restriction.
p0128,org_36,organic,age_restrictions,"nah prohibition never works, it just creates a black market 🔥 nah the disposables are an environmental nightmare too btw i mean both sides have a point? protect kids but dont punish quitters 🔥"
p0129,syn_08,synthetic,taxation,"continued innovation offers adult smokers a credible smoke-free pathway. Notably, applying the rules already on the books works better than fresh prohibitions. A proportionate, evidence-based approach serves public health best tbh."
p0130,org_13,organic,retail_licensing,"adult smokers trying to quit shouldn't be an afterthought in this debate this is about adult choice too need coffee before i can think about any of this tried the mango pods, way too sweet for me, went back to mint from a public health standpoint the priority should be young people"
p0131,pro_06,professional,retail_licensing,We caution against framing that treats commercial messaging as neutral public information. We support proportionate taxation provided revenue is ring-fenced for cessation support. Clinicians in our network describe mixed outcomes and call for better-quality longitudinal data.
p0132,mix_05,mixed,age_restrictions,"imo balanced regulation protects young people far better than prohibition. The comparative-risk picture clearly favours these products over cigarettes. We should really really make it easier, not harder, for adults to leave smoking behind. A proportionate, evidence-based approach serves public health best honestly ??"
p0133,pro_09,professional,advertising_regulation,"We welcome the proposed point-of-sale display restrictions but note that enforcement funding has not been confirmed. Frontline cessation services report rising demand from young clients, and we need resourcing to match. The coalition notes that youth exposure online is poorly captured by current advertising rules."
p0134,org_29,organic,youth_exposure,why punish ex smokers for the sins of a few dodgy shops … anyway who's watching the match tonight … why punish ex smokers for the sins of a few dodgy shops 👀
p0135,pro_01,professional,flavour_restrictions,"The disposable-product waste stream raises distinct environmental and equity questions for local authorities. Frontline cessation services report rising demand from young clients, and we need resourcing to match. We will continue to scrutinise third-party groups that do not disclose their funding sources."
p0136,syn_08,synthetic,enforcement_policy,"Enforcing existing age verification is more effective than new blanket rules. Moreover, we should make it easier, not harder, for adults to leave smoking behind. Balanced, evidence-based policy protects both adults and young people."
p0137,org_25,organic,flavour_restrictions,"tbh vaping got me off a 20-a-day habit after 15 years, leave it alone 🔥 the tax hike means i might as well smoke again, great job enforcement is non existent round here, shops sell to anyone 🤷"
p0138,org_32,organic,harm_reduction_framing,"look the corner shop near me got raided for selling to kids, that's the real problem not me 💀 the evidence that switching is less harmflu saved my life, full stop 😂"
p0139,org_19,organic,taxation,"ngl prohibition never works, it just creates a black market 🤷"
p0140,pro_04,professional,youth_exposure,"We caution against framing that treats commercial messaging as neutral public information. Frontline cessation services report rising demand from young clients, and we need resourcing to match. Our position is that protecting minors and supporting adult quit attempts are not mutually exclusive goals."
p0141,org_38,organic,retail_licensing,"I'm not industry, I'm just someone who quit, and I want evidence-based policy not panic 👀 smoke-free alternatives worked for me when patches and gum never did 💀 look my doctor actually suggested I try it and I never looked back !! as an ex-smoker I think adult choice has to count for something in this debate 🔥"
p0142,pro_05,professional,advertising_regulation,"The committee's analysis indicates that excise structure, not headline rate alone, drives substitution behaviour. Our organisation urges members to respond to the consultation before the deadline this Friday. Survey data from our regional partners show uneven retailer compliance with existing age checks."
p0143,org_02,organic,flavour_restrictions,"imo the chemist near me stopped stocking my brand, gutted … imo prohibition never works,i t just creates a black market … advertising near schools should just be illegal full stop 😂 i've seen 13 yr olds buying these at the corner shop, licensing is a joke 💀"
p0144,pro_10,professional,flavour_restrictions,Clinicians in our network describe mixed outcomes and call for better-quality longitudinal data. We remain concerned about marketing that appears designed to appeal to under-eighteens.
p0145,org_10,organic,enforcement_policy,yeah the disposables are an environmental nightmare too btw 🤷 anyone know if the new menthol ones ar eany good
p0146,org_36,organic,retail_licensing,"tax them like cigarettes, simple 😂 the science seems messy honestly, depends which study you read 🙄"
p0147,mix_09,mixed,age_restrictions,"idk respecting adult autonomy is consistent with protecting young people. Notably, cessation support should really really include the option that actually works for people. Worth remembering imo."
p0148,mix_01,mixed,youth_exposure,"Raising taxes on safer products simply protects the cigarette trade. That said, informed adult users ought to keep access to reduced-risk options. At the same time, we should really really not abandon the smokers who finally found something that works. A proportionate, evidence-based approach serves public health best tbh 🙄"
p0149,pro_06,professional,enforcement_policy,Our organisation urges members to respond to the consultation before the deadline this Friday. Members have asked for clearer guidance on how to discuss switching with patients who still smoke. The coalition notes that youth exposure online is poorly captured by current advertising rules. We support proportionate taxation provided revenue is ring-fenced for cessation support.
p0150,org_24,organic,harm_reduction_framing,i do think proportionate rules make more sense than a blanket ban switched 3 years ago and my chest feels so much better
p0151,syn_03,synthetic,advertising_regulation,"The millions of adults who have already switched are too often ignored. Importantly, expert assessments consistently rank these alternatives as far less harmful. Balanced, evidence-based policy protects both adults and young people."
p0152,org_04,organic,harm_reduction_framing,"real talk personal responsibility matters but so does keeping safer options affordable and legal !! look the innovation in these devices is the only reason I'm not smoking today imo the corner shop near me got raided for selling to kids, that's the real problem not me ?? real talk the innovation in these devices is the only reason i'm not smoking today ??"
p0153,syn_14,synthetic,youth_exposure,"Policy debate overlooks the adults who quit smoking using these products. Importantly, enforcing existing age verification is more effective than new blanket rules. We should make it easier, not harder, for adults to leave smoking behind. A proportionate, evidence-based approach serves public health best tbh."
p0154,syn_11,synthetic,advertising_regulation,"restrictive policy risks fuelling an uncontrolled illicit trade. Moreover, balanced regulation protects young people far better than prohibition. Moreover, policy debate overlooks the adults who quit smoking using these products. A proportionate, evidence-based approach serves public health best."
